,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
143,Inaequalis,S11,CZ,28,17.9%,0.68,1591,-254,31:55,10.9,16.1,2.9,8.1,57.1,17.9,1.68,34.4,0.71,37.5,0.96,-0.6,-1614,0.32,22.0,29.1,1695,2.7,1.08,1.09
144,Infinity eSports,S11,LAT,60,60.0%,1.34,1791,89,33:03,14.1,10.5,6.7,5.0,48.3,51.7,2.27,48.9,1.02,50.8,0.65,0.0,103,0.92,60.2,32.7,1912,3.6,1.38,1.56
145,Inside Games,S11,CZ,47,57.4%,1.33,1826,93,31:12,18.6,13.9,6.4,5.4,53.2,46.8,2.47,50.5,1.06,54.3,0.87,-0.1,516,0.68,55.4,31.1,2098,3.1,1.27,1.13
146,Inside Games Academy,S11,CZ,18,16.7%,0.59,1588,-326,31:13,10.8,18.3,2.8,8.7,50.0,33.3,1.72,34.7,0.56,32.4,0.83,-0.6,-1726,0.33,21.3,28.7,1667,3.1,1.17,1.04
147,INTZ Academy,S11,BR,36,19.4%,0.59,1626,-227,32:28,9.7,16.5,4.1,8.3,36.1,30.6,1.69,34.7,0.89,44.4,0.53,-0.4,-990,0.39,25.0,30.8,1686,3.6,1.63,1.37
148,INTZ e-Sports,S11,BR,36,30.6%,0.80,1716,-97,32:29,12.1,15.1,5.3,7.8,61.1,38.9,2.03,44.1,0.86,43.1,0.89,-0.5,-500,0.36,26.5,31.6,1796,3.6,1.54,1.50
149,Invictus Gaming,S11,CN,82,48.8%,0.99,1808,22,29:33,13.7,13.8,5.8,5.5,46.3,53.7,2.26,56.1,0.48,43.3,1.02,0.0,665,0.70,56.8,32.5,2068,3.2,1.40,1.53
150,Ion Squad,S11,BE,28,39.3%,0.91,1715,-63,33:01,14.5,15.9,5.4,6.3,53.6,46.4,2.61,51.5,0.93,48.2,1.07,0.2,-473,0.71,41.4,30.2,1919,2.7,0.98,1.19
151,Iron Wolves,S11,LT,40,47.5%,1.06,1806,27,31:38,16.1,15.2,6.1,6.6,50.0,35.0,2.15,46.5,0.95,50.0,0.85,-0.2,320,0.73,46.9,31.5,1957,2.8,1.06,1.18
152,Istanbul Wildcats,S11,TR,53,56.6%,1.16,1808,91,32:22,15.4,13.3,7.0,5.2,47.2,60.4,2.53,55.6,1.25,62.3,0.96,0.4,744,0.77,57.5,31.4,1867,2.7,1.08,1.35
153,Isurus,S11,LAT,36,41.7%,0.86,1695,-72,33:47,12.3,14.3,4.9,6.7,50.0,47.2,2.11,46.9,0.94,47.2,0.69,0.0,23,0.58,36.2,31.1,1795,3.4,1.38,1.41
154,IZI Dream,S11,FR,46,32.6%,0.73,1688,-162,32:03,11.5,15.9,4.2,7.7,41.3,34.8,2.20,43.9,0.65,32.6,1.07,-0.6,-1400,0.67,46.5,31.3,1815,3.2,1.24,1.25
155,J Team,S11,PCS,62,51.6%,1.17,1834,119,31:15,14.5,12.4,6.5,5.0,46.8,67.7,2.29,55.9,1.15,57.3,0.87,0.7,1142,0.60,48.2,32.9,2042,3.2,1.24,1.55
156,JD Gaming,S11,CN,83,56.6%,1.03,1837,37,31:16,14.6,14.2,5.9,5.5,51.8,41.0,2.35,51.7,0.54,52.3,0.78,-0.1,718,0.63,48.1,33.7,2078,3.4,1.19,1.61
157,K1CK,S11,PL,70,54.3%,1.06,1780,52,32:53,14.0,13.2,6.7,5.2,58.6,62.9,2.59,53.5,1.29,67.9,1.03,0.4,614,0.74,56.6,31.4,2048,3.5,1.26,1.35
158,KaBuM! Academy,S11,BR,36,38.9%,0.97,1726,-37,32:57,13.2,13.6,5.5,6.9,52.8,33.3,2.28,47.7,0.97,48.6,1.00,-0.2,46,0.50,38.6,31.5,1878,3.4,1.58,1.42
159,KaBuM! e-Sports,S11,BR,40,42.5%,0.87,1725,-71,32:23,13.0,14.9,5.4,7.0,37.5,45.0,2.35,48.9,0.88,43.8,0.90,0.0,-309,0.65,45.4,31.4,1917,3.4,1.48,1.54
160,Kaos Latin Gamers,S11,LAT,28,17.9%,0.56,1650,-252,34:01,11.1,19.9,3.9,8.8,32.1,21.4,2.25,45.5,0.64,32.1,1.14,-0.5,-1492,0.46,29.2,30.8,2001,3.4,1.41,1.36
161,Karma Clan Esports,S11,PT,53,34.0%,0.69,1692,-147,32:25,13.5,19.6,4.9,7.2,35.8,39.6,1.89,37.5,0.92,50.0,0.77,-0.4,-1187,0.51,34.7,29.8,1917,3.0,1.05,1.27
162,Karmine Corp,S11,FR,88,72.7%,1.45,1887,207,31:03,17.8,12.2,7.4,4.3,58.0,64.8,2.59,60.5,1.10,57.4,1.05,0.4,1230,0.89,71.6,32.1,2212,3.1,1.19,1.47
163,Komil & Friends,S11,PL,29,24.1%,0.63,1604,-266,31:30,10.5,16.6,3.7,7.6,34.5,27.6,2.03,41.2,0.66,32.8,0.86,-0.7,-2866,0.59,39.7,28.9,1600,3.0,1.13,1.10
164,KOVA Esports,S11,EUW,28,25.0%,0.71,1647,-244,32:14,12.9,18.0,3.1,8.6,46.4,17.9,1.79,34.7,0.57,28.6,0.68,-0.9,-1808,0.43,24.7,30.4,1889,3.2,1.31,1.27
165,KRC Genk Esports,S11,BE,29,44.8%,0.88,1706,-97,31:21,14.3,16.3,4.6,6.6,41.4,48.3,2.31,50.7,0.86,43.1,0.93,-0.3,-1122,0.48,39.7,29.6,1857,2.7,1.16,1.15
166,KT Challengers,S11,KR,48,47.9%,1.09,1745,-13,34:26,13.3,12.2,6.0,6.1,62.5,60.4,2.65,55.8,0.96,50.0,0.92,0.2,14,0.79,51.4,32.1,1786,3.6,1.73,1.76
167,KT Rolster,S11,KR,98,43.9%,0.95,1758,-55,33:19,11.7,12.3,5.1,6.3,49.0,38.8,1.94,41.0,0.87,44.4,0.68,-0.4,-343,0.63,42.0,34.0,1799,3.8,1.56,1.75
168,KV Mechelen Esports,S11,BE,45,73.3%,1.32,1835,136,31:51,17.7,13.4,7.1,4.5,60.0,55.6,2.98,62.5,1.20,64.4,1.20,0.2,774,0.67,57.5,30.9,2048,2.9,1.07,1.26
169,LDLC OL,S11,FR,40,40.0%,0.85,1749,-63,33:48,13.1,15.3,5.7,6.8,45.0,47.5,2.15,42.4,0.53,27.5,0.78,-0.3,-258,0.65,37.1,32.4,2082,3.2,1.10,1.30
170,Legacy Esports,S11,OCE,35,31.4%,0.75,1697,-179,31:08,13.9,18.5,4.6,7.2,57.1,42.9,2.03,44.2,0.80,40.0,0.80,-0.2,-1079,0.51,34.3,29.8,1962,3.0,1.08,1.20
171,Legend Esport Gaming,S11,CN,4,0.0%,0.32,1571,-404,32:29,7.5,23.5,2.0,9.3,-,50.0,1.25,22.9,0.50,25.0,0.75,-0.3,-2170,0.00,0.0,31.0,1835,3.0,1.22,1.20
172,LGD Gaming,S11,CN,77,36.4%,0.80,1729,-132,31:02,12.0,14.9,4.7,6.8,36.4,33.8,1.92,41.5,0.39,39.7,0.73,-0.4,-1997,0.47,38.0,32.2,1871,3.1,1.23,1.56
173,Liiv SANDBOX,S11,KR,101,44.6%,0.85,1764,-51,33:06,11.2,13.2,5.7,6.3,42.6,55.4,2.29,50.4,1.10,58.4,0.82,0.0,-88,0.58,43.0,33.7,1793,3.7,1.59,1.86
174,Liyab Esports,S11,PCS,40,17.5%,0.61,1627,-306,29:01,10.6,17.5,2.8,8.3,45.0,30.0,1.55,35.2,0.78,40.0,0.68,-1.3,-2642,0.28,24.5,30.1,1686,2.9,1.22,1.20
175,LNG Esports,S11,CN,124,53.2%,1.13,1795,29,31:42,13.1,11.6,5.8,5.7,50.0,46.0,2.05,48.1,0.31,40.6,0.68,0.0,-29,0.57,47.6,33.3,1871,3.4,1.19,1.50
